databaseA,databaseB,descriptionA,descriptionB,label,,
classroom-building,JZ-jzId,building: represents the name or code of the building where the classroom is located.,jzId: identifier of a building,1,,
classroom-building,JZ-jzName,building: represents the name or code of the building where the classroom is located.,jzName: the name of a building,0,,
classroom-building,JZ-wz,building: represents the name or code of the building where the classroom is located.,wz: location of the building,0,,
classroom-building,FJ-jzId,building: represents the name or code of the building where the classroom is located.,jzId: identifier of a building,1,,
classroom-building,FJ-fjh,building: represents the name or code of the building where the classroom is located.,fjh: room number,0,,
classroom-building,FJ-rs,building: represents the name or code of the building where the classroom is located.,rs: number of occupants in the room.,0,,
classroom-building,ysAp-jzId,building: represents the name or code of the building where the classroom is located.,jzId: identifier of a building,1,,
classroom-building,ysAp-fjh,building: represents the name or code of the building where the classroom is located.,fjh: room number,0,,
classroom-building,ysAp-sj,building: represents the name or code of the building where the classroom is located.,sj: time of an event,0,,
classroom-building,ysAp-scId,building: represents the name or code of the building where the classroom is located.,scId: identifier of a time slot,0,,
classroom-building,ysAp-ddrId,building: represents the name or code of the building where the classroom is located.,ddrId: identifier of the person who booked the room,0,,
classroom-building,ysAp-yy,building: represents the name or code of the building where the classroom is located.,yy: reason for booking the room,0,,
classroom-building,YX-yxmc,building: represents the name or code of the building where the classroom is located.,yxmc: name of a department,0,,
classroom-building,YX-jzId,building: represents the name or code of the building where the classroom is located.,jzId: identifier of a building,1,,
classroom-building,YX-ys,building: represents the name or code of the building where the classroom is located.,ys: budget for the department,0,,
classroom-building,KC-kcId,building: represents the name or code of the building where the classroom is located.,kcId: identifier of a course,0,,
classroom-building,KC-mc,building: represents the name or code of the building where the classroom is located.,mc: name of a course,0,,
classroom-building,KC-yxmc,building: represents the name or code of the building where the classroom is located.,yxmc: name of the department offering the course,0,,
classroom-building,KC-xf,building: represents the name or code of the building where the classroom is located.,xf: credits for the course.,0,,
classroom-building,KC-yy,building: represents the name or code of the building where the classroom is located.,yy: language of instruction for the course,0,,
classroom-building,JS-jsId,building: represents the name or code of the building where the classroom is located.,jsId: a unique identifier for each teacher,0,,
classroom-building,JS-xm,building: represents the name or code of the building where the classroom is located.,xm: the name of the teacher,0,,
classroom-building,JS-yxmc,building: represents the name or code of the building where the classroom is located.,yxmc: the name of the school where the teacher works,0,,
classroom-building,JS-gn,building: represents the name or code of the building where the classroom is located.,gn: the teacher's expertise or specialty,0,,
classroom-building,JS-zj,building: represents the name or code of the building where the classroom is located.,zj: the teacher's rank or seniority,0,,
classroom-building,PXK-pxkId,building: represents the name or code of the building where the classroom is located.,pxkId: a unique identifier for each course offering,0,,
classroom-building,PXK-kcId,building: represents the name or code of the building where the classroom is located.,kcId: the identifier of the course being offered,0,,
classroom-building,PXK-khId,building: represents the name or code of the building where the classroom is located.,khId: the identifier of the class section,0,,
classroom-building,PXK-xq,building: represents the name or code of the building where the classroom is located.,xq: the academic term or semester when the course is offered,0,,
classroom-building,PXK-nf,building: represents the name or code of the building where the classroom is located.,nf: the academic year when the course is offered,0,,
classroom-building,KCM-pxkId,building: represents the name or code of the building where the classroom is located.,pxkId: the identifier of the course offering,0,,
classroom-building,KCM-jzId,building: represents the name or code of the building where the classroom is located.,jzId: the identifier of the building where the course is held,1,,
classroom-building,KCM-fjh,building: represents the name or code of the building where the classroom is located.,fjh: the room number or identifier where the course is held,0,,
classroom-building,KCM-scId,building: represents the name or code of the building where the classroom is located.,scId: the identifier of the timeslot when the course is held,0,,
classroom-building,JX-jsId,building: represents the name or code of the building where the classroom is located.,jsId: the identifier of the teacher who instructs the course,0,,
classroom-building,JX-pxkId,building: represents the name or code of the building where the classroom is located.,pxkId: the identifier of the course offering being instructed,0,,
classroom-building,JX-khr,building: represents the name or code of the building where the classroom is located.,khr: the date when the course instruction starts,0,,
classroom-building,JX-scId,building: represents the name or code of the building where the classroom is located.,scId: the identifier of the timeslot when the course instruction is held,0,,
classroom-building,JX-khjzId,building: represents the name or code of the building where the classroom is located.,khjzId: the identifier of the building where the course instruction is held,1,,
classroom-building,JX-khfjh,building: represents the name or code of the building where the classroom is located.,khfjh: the room number or identifier where the course instruction is held,0,,
classroom-building,XS-xsId,building: represents the name or code of the building where the classroom is located.,xsId: a unique identifier for each student,0,,
classroom-building,XS-xm,building: represents the name or code of the building where the classroom is located.,xm: the name of the student,0,,
classroom-building,XS-yxmc,building: represents the name or code of the building where the classroom is located.,yxmc: the name of the school where the student is enrolled,0,,
classroom-building,XS-zxf,building: represents the name or code of the building where the classroom is located.,zxf: the total credits that the student has taken or is taking,0,,
classroom-building,XS-zym,building: represents the name or code of the building where the classroom is located.,zym: the name of the student's major,0,,
classroom-building,XS-zzcj,building: represents the name or code of the building where the classroom is located.,zzcj: the final grade of the student in the course,0,,
classroom-building,XS-jsId,building: represents the name or code of the building where the classroom is located.,jsId: the identifier of the teacher who instructs the course,0,,
classroom-building,ZY-zym,building: represents the name or code of the building where the classroom is located.,zym: the name of the major,0,,
classroom-building,ZY-yxmc,building: represents the name or code of the building where the classroom is located.,yxmc: the name of the school that offers the major,0,,
classroom-building,ZY-xxnf,building: represents the name or code of the building where the classroom is located.,xxnf: the academic year when the major is offered,0,,
classroom-building,XX-xsId,building: represents the name or code of the building where the classroom is located.,xsId: the identifier of the student who takes the course,0,,
classroom-building,XX-pxkId,building: represents the name or code of the building where the classroom is located.,pxkId: the identifier of the course offering being taken,0,,
classroom-building,XX-cj,building: represents the name or code of the building where the classroom is located.,cj: the grade of the student in the course,0,,
classroom-building,SJ-scId,building: represents the name or code of the building where the classroom is located.,scId: a unique identifier for each timeslot,0,,
classroom-building,SJ-xq,building: represents the name or code of the building where the classroom is located.,xq: the academic term or semester when the timeslot is offered,0,,
classroom-building,SJ-kssj,building: represents the name or code of the building where the classroom is located.,kssj: the start time of the timeslot,0,,
classroom-building,SJ-jssj,building: represents the name or code of the building where the classroom is located.,jssj: the end time of the timeslot,0,,
classroom-building,XQ-kcId,building: represents the name or code of the building where the classroom is located.,kcId: the identifier of the course being taken,0,,
classroom-building,XQ-xykcId,building: represents the name or code of the building where the classroom is located.,xykcId: the identifier of the course that serves as a prerequisite for the course,0,,
classroom-room_number,JZ-jzId,room_number: represents the unique identifier of the classroom within the building.,jzId: identifier of a building,0,,
classroom-room_number,JZ-jzName,room_number: represents the unique identifier of the classroom within the building.,jzName: the name of a building,0,,
classroom-room_number,JZ-wz,room_number: represents the unique identifier of the classroom within the building.,wz: location of the building,0,,
classroom-room_number,FJ-jzId,room_number: represents the unique identifier of the classroom within the building.,jzId: identifier of a building,0,,
classroom-room_number,FJ-fjh,room_number: represents the unique identifier of the classroom within the building.,fjh: room number,1,,
classroom-room_number,FJ-rs,room_number: represents the unique identifier of the classroom within the building.,rs: number of occupants in the room.,0,,
classroom-room_number,ysAp-jzId,room_number: represents the unique identifier of the classroom within the building.,jzId: identifier of a building,0,,
classroom-room_number,ysAp-fjh,room_number: represents the unique identifier of the classroom within the building.,fjh: room number,1,,
classroom-room_number,ysAp-sj,room_number: represents the unique identifier of the classroom within the building.,sj: time of an event,0,,
classroom-room_number,ysAp-scId,room_number: represents the unique identifier of the classroom within the building.,scId: identifier of a time slot,0,,
classroom-room_number,ysAp-ddrId,room_number: represents the unique identifier of the classroom within the building.,ddrId: identifier of the person who booked the room,0,,
classroom-room_number,ysAp-yy,room_number: represents the unique identifier of the classroom within the building.,yy: reason for booking the room,0,,
classroom-room_number,YX-yxmc,room_number: represents the unique identifier of the classroom within the building.,yxmc: name of a department,0,,
classroom-room_number,YX-jzId,room_number: represents the unique identifier of the classroom within the building.,jzId: identifier of a building,0,,
classroom-room_number,YX-ys,room_number: represents the unique identifier of the classroom within the building.,ys: budget for the department,0,,
classroom-room_number,KC-kcId,room_number: represents the unique identifier of the classroom within the building.,kcId: identifier of a course,0,,
classroom-room_number,KC-mc,room_number: represents the unique identifier of the classroom within the building.,mc: name of a course,0,,
classroom-room_number,KC-yxmc,room_number: represents the unique identifier of the classroom within the building.,yxmc: name of the department offering the course,0,,
classroom-room_number,KC-xf,room_number: represents the unique identifier of the classroom within the building.,xf: credits for the course.,0,,
classroom-room_number,KC-yy,room_number: represents the unique identifier of the classroom within the building.,yy: language of instruction for the course,0,,
classroom-room_number,JS-jsId,room_number: represents the unique identifier of the classroom within the building.,jsId: a unique identifier for each teacher,0,,
classroom-room_number,JS-xm,room_number: represents the unique identifier of the classroom within the building.,xm: the name of the teacher,0,,
classroom-room_number,JS-yxmc,room_number: represents the unique identifier of the classroom within the building.,yxmc: the name of the school where the teacher works,0,,
classroom-room_number,JS-gn,room_number: represents the unique identifier of the classroom within the building.,gn: the teacher's expertise or specialty,0,,
classroom-room_number,JS-zj,room_number: represents the unique identifier of the classroom within the building.,zj: the teacher's rank or seniority,0,,
classroom-room_number,PXK-pxkId,room_number: represents the unique identifier of the classroom within the building.,pxkId: a unique identifier for each course offering,0,,
classroom-room_number,PXK-kcId,room_number: represents the unique identifier of the classroom within the building.,kcId: the identifier of the course being offered,0,,
classroom-room_number,PXK-khId,room_number: represents the unique identifier of the classroom within the building.,khId: the identifier of the class section,0,,
classroom-room_number,PXK-xq,room_number: represents the unique identifier of the classroom within the building.,xq: the academic term or semester when the course is offered,0,,
classroom-room_number,PXK-nf,room_number: represents the unique identifier of the classroom within the building.,nf: the academic year when the course is offered,0,,
classroom-room_number,KCM-pxkId,room_number: represents the unique identifier of the classroom within the building.,pxkId: the identifier of the course offering,0,,
classroom-room_number,KCM-jzId,room_number: represents the unique identifier of the classroom within the building.,jzId: the identifier of the building where the course is held,0,,
classroom-room_number,KCM-fjh,room_number: represents the unique identifier of the classroom within the building.,fjh: the room number or identifier where the course is held,1,,
classroom-room_number,KCM-scId,room_number: represents the unique identifier of the classroom within the building.,scId: the identifier of the timeslot when the course is held,0,,
classroom-room_number,JX-jsId,room_number: represents the unique identifier of the classroom within the building.,jsId: the identifier of the teacher who instructs the course,0,,
classroom-room_number,JX-pxkId,room_number: represents the unique identifier of the classroom within the building.,pxkId: the identifier of the course offering being instructed,0,,
classroom-room_number,JX-khr,room_number: represents the unique identifier of the classroom within the building.,khr: the date when the course instruction starts,0,,
classroom-room_number,JX-scId,room_number: represents the unique identifier of the classroom within the building.,scId: the identifier of the timeslot when the course instruction is held,0,,
classroom-room_number,JX-khjzId,room_number: represents the unique identifier of the classroom within the building.,khjzId: the identifier of the building where the course instruction is held,0,,
classroom-room_number,JX-khfjh,room_number: represents the unique identifier of the classroom within the building.,khfjh: the room number or identifier where the course instruction is held,1,,
classroom-room_number,XS-xsId,room_number: represents the unique identifier of the classroom within the building.,xsId: a unique identifier for each student,0,,
classroom-room_number,XS-xm,room_number: represents the unique identifier of the classroom within the building.,xm: the name of the student,0,,
classroom-room_number,XS-yxmc,room_number: represents the unique identifier of the classroom within the building.,yxmc: the name of the school where the student is enrolled,0,,
classroom-room_number,XS-zxf,room_number: represents the unique identifier of the classroom within the building.,zxf: the total credits that the student has taken or is taking,0,,
classroom-room_number,XS-zym,room_number: represents the unique identifier of the classroom within the building.,zym: the name of the student's major,0,,
